-- ============================================================================
-- Query 07: Blocking Sessions 322 and 3082 — Combined Activity with P1/P2/P3
-- ============================================================================
-- Purpose: Track the parallel activity of MMON_SLAVE (322) and root blocker
--          (3082) during the storm, including P1/P2/P3 wait parameters.
--          This shows: (1) When MMON transitioned from ON CPU to mutex waiting,
--          (2) Session 3082's redo block# progression proving sequential scanning,
--          (3) The exact P2 value encoding holder SID 3082.
-- Result:  83 rows showing both sessions side-by-side with P1/P2/P3 parameters.
-- Run on:  POST2P (DBID 2771519206), dru104a
-- Date:    March 2026 (post-incident investigation)
-- ============================================================================

-- SQL Query:
-- SELECT sample_time, session_id, session_serial#, user_id, sql_id, sql_opname,
--        module, machine, program, event, session_state,
--        p1text, p1, p2text, p2, p3text, p3
-- FROM dba_hist_active_sess_history
-- WHERE dbid = 2771519206
--   AND instance_number = 1
--   AND snap_id BETWEEN 233938 AND 233941
--   AND session_id IN (322, 3082)
-- ORDER BY sample_time, session_id;

SAMPLE_TIME,SESSION_ID,SESSION_SERIAL#,USER_ID,SQL_ID,SQL_OPNAME,MODULE,MACHINE,PROGRAM,EVENT,SESSION_STATE,P1TEXT,P1,P2TEXT,P2,P3TEXT,P3
09-MAR-26 08.51.54.529000000 AM,3082,44313,267,459f3z9u4fb3u,SELECT,sqlplus@drvl1078 (TNS V1-V3),drvl1078,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,log#,987953,block#,8843264,blocks,2048
09-MAR-26 08.52.04.758000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),library cache: mutex X,WAITING,idn,1950821498,value,13237089206272,where,124
09-MAR-26 08.52.04.758000000 AM,3082,44313,267,459f3z9u4fb3u,SELECT,sqlplus@drvl1078 (TNS V1-V3),drvl1078,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,log#,987953,block#,9279488,blocks,2048
09-MAR-26 08.52.15.963000000 AM,3082,44313,267,459f3z9u4fb3u,SELECT,sqlplus@drvl1078 (TNS V1-V3),drvl1078,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,log#,987953,block#,9791488,blocks,2048
09-MAR-26 08.52.15.963000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),library cache: mutex X,WAITING,idn,1950821498,value,13237089206272,where,124
09-MAR-26 08.52.26.133000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),library cache: mutex X,WAITING,idn,1950821498,value,13237089206272,where,124
09-MAR-26 08.52.26.133000000 AM,3082,44313,267,459f3z9u4fb3u,SELECT,sqlplus@drvl1078 (TNS V1-V3),drvl1078,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,log#,987953,block#,10201088,blocks,2048
09-MAR-26 08.52.38.876000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),library cache: mutex X,WAITING,idn,1950821498,value,13237089206272,where,124
09-MAR-26 08.52.38.876000000 AM,3082,44313,267,459f3z9u4fb3u,SELECT,sqlplus@drvl1078 (TNS V1-V3),drvl1078,sqlplus@drvl1078 (TNS V1-V3),log file sequential read,WAITING,log#,987953,block#,10739712,blocks,2048
09-MAR-26 08.52.49.163000000 AM,3082,44313,267,459f3z9u4fb3u,SELECT,sqlplus@drvl1078 (TNS V1-V3),drvl1078,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,log#,987953,block#,11171840,blocks,2048
09-MAR-26 08.52.49.163000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),library cache: mutex X,WAITING,idn,1950821498,value,13237089206272,where,124
09-MAR-26 08.52.59.410000000 AM,3082,44313,267,459f3z9u4fb3u,SELECT,sqlplus@drvl1078 (TNS V1-V3),drvl1078,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,log#,987953,block#,11503616,blocks,2048
09-MAR-26 08.52.59.410000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),library cache: mutex X,WAITING,idn,1950821498,value,13237089206272,where,124
09-MAR-26 08.53.09.599000000 AM,3082,44313,267,459f3z9u4fb3u,SELECT,sqlplus@drvl1078 (TNS V1-V3),drvl1078,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,log#,987953,block#,11907072,blocks,2048
09-MAR-26 08.53.09.599000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),library cache: mutex X,WAITING,idn,1950821498,value,13237089206272,where,124
